,url,title,genre,cag_rating,cag_release,tomatoScore,popcornScore
/m/1004047-children_of_the_corn,/m/1004047-children_of_the_corn,Children of the Corn,"[""Cult Movies"",""Horror"",""Mystery & Suspense""]",R,1984,35,40
/m/three_smart_girls_grow_up,/m/three_smart_girls_grow_up,Three Smart Girls Grow Up,"[""Classics"",""Comedy"",""Musical & Performing Arts"",""Romance""]",NR,1939,null,71
/m/beautiful_creatures_2013,/m/beautiful_creatures_2013,Beautiful Creatures,"[""Drama"",""Science Fiction & Fantasy"",""Romance""]",PG-13,2013,47,54
/m/informant_2013,/m/informant_2013,Informant,"[""Documentary"",""Special Interest""]",NR,2013,89,62
/m/a_crack_in_the_floor,/m/a_crack_in_the_floor,A Crack in the Floor,"[""Horror"",""Mystery & Suspense""]",R,2001,null,9
/m/christmas_family_tragedy,/m/christmas_family_tragedy,A Christmas Family Tragedy,"[""Documentary"",""Special Interest""]",NR,2007,null,40
/m/the_lorax,/m/the_lorax,The Lorax,"[""Animation"",""Comedy"",""Kids & Family"",""Television""]",NR,1972,null,83
/m/distant_voices_still_lives,/m/distant_voices_still_lives,"Distant Voices, Still Lives","[""Drama""]",PG-13,1988,79,83
/m/my_brilliant_career,/m/my_brilliant_career,My Brilliant Career,"[""Art House & International"",""Drama"",""Romance""]",G,1979,84,68
/m/rudy,/m/rudy,Rudy,"[""Drama"",""Kids & Family""]",PG,1993,78,90
/m/horrors_of_the_black_museum,/m/horrors_of_the_black_museum,Horrors of the Black Museum,"[""Classics"",""Drama"",""Horror""]",NR,1959,null,24
/m/ms_purple,/m/ms_purple,Ms. Purple,"[""Drama""]",NR,2019,86,73
/m/the_shepherd_of_the_hills,/m/the_shepherd_of_the_hills,The Shepherd of the Hills,"[""Action & Adventure"",""Classics"",""Drama"",""Western""]",NR,1941,null,59
/m/swinging_with_the_finkels,/m/swinging_with_the_finkels,Swinging With The Finkels,"[""Comedy"",""Romance""]",R,2011,null,20
/m/mad_monkey_kung_fu,/m/mad_monkey_kung_fu,Mad Monkey Kung Fu,"[""Action & Adventure"",""Art House & International""]",NR,1980,null,70
/m/1083688-return_to_paradise,/m/1083688-return_to_paradise,Return to Paradise,"[""Drama"",""Mystery & Suspense""]",R,1998,71,74
/m/porkys,/m/porkys,Porky's,"[""Comedy""]",NR,2004,null,60
/m/schneider_vs_bax,/m/schneider_vs_bax,Schneider vs. Bax,"[""Comedy"",""Drama"",""Mystery & Suspense""]",NR,2015,63,51
